pl_name,updated_ecc,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,rv_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
GJ 9066 c,0.46,GJ 9066,1,1,1,Radial Velocity,2020,Multiple Observatories,1,Published Confirmed,0,<a refstr=QUIRRENBACH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220316504Q/abstract target=ref>Quirrenbach et al. 2022</a>,771.36,1.34,-1.23,0,0.88,0.02,-0.02,0.0,,,,,,,,,66.74397,6.35657,-6.35657,0.0,0.21,0.02,-0.02,0.0,Msini,0.46,0.04,-0.04,0.0,,,,,,,,,0,18.84,1.3,-1.16,0.0,<a refstr=QUIRRENBACH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220316504Q/abstract target=ref>Quirrenbach et al. 2022</a>,M5.0 V,3154.0,54.0,-54.0,0.0,0.16,0.01,-0.01,0.0,0.15,0.01,-0.01,0.0,-0.13,0.19,-0.19,0.0,[Fe/H],5.01,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h00m14.12s,30.0588307,+13d02m39.54s,13.0443172,4.471,0.00215,-0.00215,12.71,0.2,-0.2,6.648,0.017,-0.017,10.6711,0.00094,-0.00094,2022-05-03,2022-03,2022-05-03
GJ 9404 b,0.49,GJ 9404,1,1,1,Radial Velocity,2023,Roque de los Muchachos Observatory,1,Published Confirmed,0,<a refstr=BAYCROFT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RNAAS...7..175B/abstract target=ref>Baycroft et al. 2023</a>,13.4586,0.0044,-0.0067,0,0.0943,0.0036,-0.0036,0.0,,,,,,,,,11.9,1.9,-1.9,0.0,0.03744,0.00598,-0.00598,0.0,Msini,0.49,0.11,-0.13,0.0,,,,,,,,,0,5.13,1.04,-0.85,0.0,<a refstr=BAYCROFT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RNAAS...7..175B/abstract target=ref>Baycroft et al. 2023</a>,,,,,,,,,,0.62,0.07,-0.07,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h19m23.33s,184.8472095,+28d22m57.77s,28.3827126,23.8839,0.0254,-0.0253,10.62,0.1,-0.1,6.796,0.02,-0.02,9.87021,0.00096,-0.00096,2023-09-05,2023-08,2023-09-05
GJ 96 b,0.44,GJ 96,1,1,1,Radial Velocity,2018,Haute-Provence Observatory,1,Published Confirmed,0,<a refstr=HOBSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.103H/abstract target=ref>Hobson et al. 2018</a>,73.94,0.33,-0.38,0,0.291,0.005,-0.005,0.0,,,,,,,,,19.66,2.42,-2.3,0.0,0.06186,0.00761,-0.00724,0.0,Msini,0.44,0.09,-0.11,0.0,,,,,,,,,0,4.69,0.72,-0.62,0.0,<a refstr=HOBSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.103H/abstract target=ref>Hobson et al. 2018</a>,M2,3785.0,62.0,-62.0,0.0,,,,,0.6,0.07,-0.07,0.0,0.14,0.08,-0.08,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h22m14.98s,35.5624031,+47d52m48.75s,47.8802075,11.9315,0.0093,-0.0093,9.4,0.1,-0.1,5.554,0.026,-0.026,8.63186,0.000584,-0.000584,2018-11-06,2018-10,2018-11-08
GJ 9689 b,0.29,GJ 9689,1,1,1,Radial Velocity,2020,Roque de los Muchachos Observatory,1,Published Confirmed,0,<a refstr=MALDONADO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..93M/abstract target=ref>Maldonado et al. 2021</a>,18.27,0.01,-0.01,0,0.1139,0.0039,-0.0039,0.0,,,,,,,,,9.65,1.41,-1.41,0.0,0.03036,0.00444,-0.00444,0.0,Msini,0.29,0.11,-0.13,0.0,,,,,453.0,39.0,-39.0,0.0,0,3.48,0.44,-0.42,0.0,<a refstr=MALDONADO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..93M/abstract target=ref>Maldonado et al. 2021</a>,M0.5,3836.0,69.0,-69.0,0.0,0.57,0.06,-0.06,0.0,0.59,0.06,-0.06,0.0,0.05,0.04,-0.04,0.0,[Fe/H],4.69,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h13m52.26s,303.467731,+13d23m20.01s,13.3888921,30.6203,0.04185,-0.04185,11.297,0.013,-0.013,7.468,0.021,-0.021,10.5372,0.000444,-0.000444,2021-10-25,2021-07,2021-10-25
Gl 378 b,0.109,Gl 378,1,1,1,Radial Velocity,2019,Haute-Provence Observatory,1,Published Confirmed,0,<a refstr=HOBSON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..18H/abstract target=ref>Hobson et al. 2019</a>,3.822,0.001,-0.001,0,0.039435,0.00023,-0.00023,0.0,,,,,,,,,13.02,2.03,-2.01,0.0,0.04097,0.00639,-0.00632,0.0,Msini,0.109,0.131,-0.077,0.0,,,,,830.0,,,0.0,0,7.96,1.24,-1.23,0.0,<a refstr=HOBSON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..18H/abstract target=ref>Hobson et al. 2019</a>,M1,3879.0,67.0,-67.0,0.0,0.56,0.02,-0.02,0.0,0.56,0.01,-0.01,0.0,0.06,0.09,-0.09,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h02m20.77s,150.5865513,+48d04m56.83s,48.0824515,14.9545,0.00725,-0.00725,10.03,0.1,-0.1,6.16,0.016,-0.016,9.26515,0.000412,-0.000412,2019-03-01,2019-05,2019-03-05
Gl 49 b,0.363,Gl 49,1,2,1,Radial Velocity,2019,Multiple Observatories,1,Published Confirmed,0,<a refstr=PERGER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A.123P/abstract target=ref>Perger et al. 2019</a>,13.8508,0.0053,-0.0051,0,0.0905,0.0011,-0.0011,0.0,,,,,,,,,5.63,0.67,-0.68,0.0,0.01771,0.00211,-0.00214,0.0,Msini,0.363,0.099,-0.096,0.0,,,,,,,,,0,2.52,0.31,-0.3,0.0,<a refstr=PERGER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A.123P/abstract target=ref>Perger et al. 2019</a>,M1.5 V,3805.0,51.0,-51.0,0.0,0.51,0.02,-0.02,0.0,0.52,0.02,-0.02,0.0,0.13,0.16,-0.16,0.0,[Fe/H],4.69,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h02m40.50s,15.6687321,+62d20m43.58s,62.3454386,9.8528,0.00328,-0.00328,9.56,0.1,-0.1,5.371,0.02,-0.02,8.66282,0.000685,-0.000685,2019-06-07,2019-04,2019-06-13
Gl 686 b,0.05,Gl 686,1,1,1,Radial Velocity,2018,Roque de los Muchachos Observatory,1,Published Confirmed,0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201108867B/abstract target=ref>Burt et al. 2020</a>,15.53,0.0011,-0.0011,0,0.091,0.001,-0.001,0.0,,,,,,,,,6.624,0.432,-0.432,0.0,0.02084,0.00136,-0.00136,0.0,Msini,0.05,0.03,-0.03,0.0,,,,,,,,,0,3.004,0.18,-0.18,0.0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201108867B/abstract target=ref>Burt et al. 2020</a>,,3656.0,51.0,-51.0,0.0,0.43,0.01,-0.01,0.0,0.43,0.02,-0.02,0.0,-0.23,0.16,-0.16,0.0,[Fe/H],4.87,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h37m54.36s,264.4764878,+18d35m45.42s,18.5959509,8.15728,0.00232,-0.00232,9.62,0.1,-0.1,5.572,0.02,-0.02,8.73899,0.000634,-0.000634,2020-12-10,2021-01,2020-12-17
HAT-P-11 c,0.601,HAT-P-11,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,1,Published Confirmed,0,<a refstr=YEE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..255Y/abstract target=ref>Yee et al. 2018</a>,3407.0,360.0,-190.0,0,4.13,0.29,-0.16,0.0,,,,,,,,,507.0,30.0,-27.0,0.0,1.59519,0.09439,-0.08495,0.0,Msini,0.601,0.032,-0.031,0.0,,,,,,,,,0,30.9,1.3,-1.3,0.0,<a refstr=YEE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..255Y/abstract target=ref>Yee et al. 2018</a>,,4780.0,50.0,-50.0,0.0,0.68,0.01,-0.01,0.0,0.81,0.02,-0.03,0.0,0.31,0.05,-0.05,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h50m50.44s,297.7101763,+48d04m54.71s,48.0818635,37.7647,0.0337,-0.0336,9.46,0.03,-0.03,7.009,0.02,-0.02,9.15098,0.000293,-0.000293,2019-01-28,2018-06,2019-01-31
HAT-P-13 c,0.6616,HAT-P-13,1,1,2,Radial Velocity,2009,W. M. Keck Observatory,1,Published Confirmed,0,<a refstr=WINN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...718..575W/abstract target=ref> Winn et al. 2010 </a>,446.27,0.22,-0.22,0,,,,,,,,,,,,,4538.421,88.989,-88.989,0.0,14.28,0.28,-0.28,0.0,Msini,0.6616,0.0054,-0.0054,0.0,,,,,,,,,0,440.0,11.0,-11.0,0.0,<a refstr=WINN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...718..575W/abstract target=ref> Winn et al. 2010 </a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h39m31.77s,129.8823772,+47d21m06.87s,47.3519076,246.81,2.228,-2.188,10.421,0.008,-0.008,8.975,0.017,-0.017,10.4168,0.000254,-0.000254,2019-01-28,2010-07,2019-01-31
HAT-P-17 c,0.39,HAT-P-17,1,1,2,Radial Velocity,2010,W. M. Keck Observatory,1,Published Confirmed,0,<a refstr=FULTON_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...772...80F/abstract target=ref> Fulton et al. 2013 </a>,5584.0,7700.0,-2100.0,0,5.6,3.5,-1.4,0.0,,,,,,,,,1080.6,349.6,-222.5,0.0,3.4,1.1,-0.7,0.0,Msini,0.39,0.23,-0.17,0.0,,,,,,,,,0,48.8,9.9,-6.4,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5336.96,118.21,-91.85,0.0,0.84,0.04,-0.04,0.0,0.92,0.15,-0.08,0.0,0.051,0.028,-0.028,0.0,[M/H],4.55,0.08,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h38m08.63s,324.5359781,+30d29m17.48s,30.4881882,92.3831,0.4851,-0.4802,10.375,0.005,-0.005,8.544,0.025,-0.025,10.2743,0.000306,-0.000306,2014-05-14,2013-08,2014-05-14
HATS-59 c,0.083,HATS-59,1,1,2,Radial Velocity,2018,HATSouth,1,Published Confirmed,0,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..216S/abstract target=ref>Sarkis et al. 2018</a>,1422.0,14.0,-14.0,0,2.504,0.035,-0.035,0.0,,,,,,,,,4036.441,276.5121,-276.5121,0.0,12.7,0.87,-0.87,0.0,Msini,0.083,,,1.0,0.16,0.02,-0.02,0.0,176.0,6.0,-6.0,0.0,0,224.0,14.0,-14.0,0.0,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..216S/abstract target=ref>Sarkis et al. 2018</a>,,5670.0,91.0,-91.0,0.0,1.04,0.07,-0.07,0.0,1.04,0.04,-0.04,0.0,0.18,0.064,-0.064,0.0,[Fe/H],4.42,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h21m17.84s,170.324325,-22d23m17.44s,-22.388177,642.884,13.94,-13.371,14.033,0.08,-0.08,12.238,0.03,-0.03,13.7854,0.00022,-0.00022,2018-12-03,2018-11,2018-12-06
HD 100655 b,0.09,HD 100655,1,2,1,Radial Velocity,2011,Bohyunsan Optical Astronomical Observatory,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,157.57001,0.65,-0.65,0,0.68,0.04,-0.04,0.0,,,,,,,,,511.7063,108.0622,-108.0622,0.0,1.61,0.34,-0.34,0.0,Msini,0.09,0.05,-0.05,0.0,,,,,,,,,0,35.2,2.3,-2.3,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4891.0,46.0,-46.0,0.0,10.06,0.86,-0.86,0.0,2.28,0.69,-0.69,0.0,0.07,,,0.0,[Fe/H],2.79,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m03.69s,173.7653631,+20d26m29.55s,20.441541,137.178,0.895,-0.895,6.4421,0.023,-0.023,4.129,0.024,-0.024,6.17883,0.0006786,-0.0006786,2018-09-04,2017-03,2018-09-06
HD 10180 c,0.073,HD 10180,1,1,6,Radial Velocity,2010,La Silla Observatory,1,Published Confirmed,0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,5.75969,0.00028,-0.00028,0,0.06412,0.00101,-0.00101,0.0,,,,,,,,,13.22173,0.44496,-0.44496,0.0,0.0416,0.0014,-0.0014,0.0,Msini,0.073,0.031,-0.031,0.0,,,,,,,,,0,4.545,0.154,-0.154,0.0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,,5911.0,19.0,-19.0,0.0,1.11,0.04,-0.04,0.0,1.06,0.05,-0.05,0.0,0.08,0.01,-0.01,0.0,[Fe/H],4.39,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607,0.0387,-0.0386,7.33,0.03,-0.03,5.868,0.018,-0.018,7.17261,0.000183,-0.000183,2015-06-24,2014-09,2015-06-25
HD 10180 d,0.131,HD 10180,1,1,6,Radial Velocity,2010,La Silla Observatory,1,Published Confirmed,0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,16.357,0.0038,-0.0038,0,0.12859,0.00202,-0.00202,0.0,,,,,,,,,12.01397,0.69923,-0.69923,0.0,0.0378,0.0022,-0.0022,0.0,Msini,0.131,0.052,-0.052,0.0,,,,,,,,,0,2.935,0.173,-0.173,0.0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,,5911.0,19.0,-19.0,0.0,1.11,0.04,-0.04,0.0,1.06,0.05,-0.05,0.0,0.08,0.01,-0.01,0.0,[Fe/H],4.39,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607,0.0387,-0.0386,7.33,0.03,-0.03,5.868,0.018,-0.018,7.17261,0.000183,-0.000183,2015-06-24,2014-09,2015-06-25
HD 10180 e,0.051,HD 10180,1,1,6,Radial Velocity,2010,La Silla Observatory,1,Published Confirmed,0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,49.748,0.025,-0.025,0,0.2699,0.0043,-0.0043,0.0,,,,,,,,,25.58532,1.01706,-1.01706,0.0,0.0805,0.0032,-0.0032,0.0,Msini,0.051,0.033,-0.033,0.0,,,,,,,,,0,4.283,0.169,-0.169,0.0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,,5911.0,19.0,-19.0,0.0,1.11,0.04,-0.04,0.0,1.06,0.05,-0.05,0.0,0.08,0.01,-0.01,0.0,[Fe/H],4.39,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607,0.0387,-0.0386,7.33,0.03,-0.03,5.868,0.018,-0.018,7.17261,0.000183,-0.000183,2015-06-24,2014-09,2015-06-25
HD 10180 f,0.119,HD 10180,1,1,6,Radial Velocity,2010,La Silla Observatory,1,Published Confirmed,0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,122.744,0.232,-0.232,0,0.4929,0.0078,-0.0078,0.0,,,,,,,,,22.94733,1.4938,-1.4938,0.0,0.0722,0.0047,-0.0047,0.0,Msini,0.119,0.054,-0.054,0.0,,,,,,,,,0,2.862,0.186,-0.186,0.0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,,5911.0,19.0,-19.0,0.0,1.11,0.04,-0.04,0.0,1.06,0.05,-0.05,0.0,0.08,0.01,-0.01,0.0,[Fe/H],4.39,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607,0.0387,-0.0386,7.33,0.03,-0.03,5.868,0.018,-0.018,7.17261,0.000183,-0.000183,2015-06-24,2014-09,2015-06-25
HD 10180 h,0.095,HD 10180,1,1,6,Radial Velocity,2010,La Silla Observatory,1,Published Confirmed,0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,2205.0,105.9,-105.9,0,3.381,0.121,-0.121,0.0,,,,,,,,,65.66368,4.41784,-4.41784,0.0,0.2066,0.0139,-0.0139,0.0,Msini,0.095,0.086,-0.086,0.0,,,,,,,,,0,3.117,0.245,-0.245,0.0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,,5911.0,19.0,-19.0,0.0,1.11,0.04,-0.04,0.0,1.06,0.05,-0.05,0.0,0.08,0.01,-0.01,0.0,[Fe/H],4.39,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607,0.0387,-0.0386,7.33,0.03,-0.03,5.868,0.018,-0.018,7.17261,0.000183,-0.000183,2015-06-24,2014-09,2015-06-25
HD 101930 b,0.11,HD 101930,1,2,1,Radial Velocity,2005,La Silla Observatory,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,70.46,0.18,-0.18,0,0.3,0.01,-0.01,0.0,,,,,,,,,79.4575,6.3566,-6.3566,0.0,0.25,0.02,-0.02,0.0,Msini,0.11,0.02,-0.02,0.0,,,,,,,,,0,18.1,0.4,-0.4,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5108.0,27.0,-27.0,0.0,0.86,0.02,-0.02,0.0,0.57,0.07,-0.07,0.0,0.15,,,0.0,[Fe/H],4.33,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h43m30.15s,175.875608,-58d00m19.37s,-58.0053798,30.0274,0.0409,-0.0407,8.21,0.03,-0.03,6.147,0.026,-0.026,7.96664,0.000351,-0.000351,2018-09-04,2017-03,2018-09-06
HD 102117 b,0.12,HD 102117,1,1,1,Radial Velocity,2005,La Silla Observatory,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,20.8133,0.0064,-0.0064,0,0.15,0.0,0.0,0.0,,,,,,,,,54.0311,3.1783,-3.1783,0.0,0.17,0.01,-0.01,0.0,Msini,0.12,0.08,-0.08,0.0,,,,,,,,,0,12.0,0.9,-0.9,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5655.0,16.0,-16.0,0.0,1.23,0.02,-0.02,0.0,1.06,0.07,-0.07,0.0,0.28,,,0.0,[Fe/H],4.29,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h44m50.33s,176.2097267,-58d42m14.45s,-58.7040134,39.5792,0.0646,-0.0644,7.47,0.03,-0.03,5.833,0.02,-0.02,7.28191,0.000223,-0.000223,2018-09-04,2017-03,2018-09-06
HD 102195 b,0.167,HD 102195,1,1,1,Radial Velocity,2006,Kitt Peak National Observatory,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.11377,0.00056,-0.00056,0,0.05,0.0,0.0,0.0,,,,,,,,,130.3103,6.3566,-6.3566,0.0,0.41,0.02,-0.02,0.0,Msini,0.0,,,0.0,,,,,,,,,0,63.0,2.0,-2.0,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5301.0,6.0,-6.0,0.0,0.82,0.01,-0.01,0.0,0.76,0.04,-0.04,0.0,0.04,,,0.0,[Fe/H],4.49,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h45m42.10s,176.4254063,+02d49m15.57s,2.8209912,29.3386,0.0482,-0.048,8.07,0.03,-0.03,6.151,0.018,-0.018,7.84665,0.000576,-0.000576,2018-09-04,2017-03,2018-09-06
HD 102272 b,0.05,HD 102272,1,1,1,Radial Velocity,2008,McDonald Observatory,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,127.58,0.3,-0.3,0,0.51,0.03,-0.03,0.0,,,,,,,,,1570.0802,203.4112,-203.4112,0.0,4.94,0.64,-0.64,0.0,Msini,0.05,0.04,-0.04,0.0,,,,,,,,,0,155.5,5.6,-5.6,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4790.0,40.0,-40.0,0.0,10.3,0.97,-0.97,0.0,1.45,0.27,-0.27,0.0,-0.41,,,0.0,[Fe/H],2.58,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h46m23.53s,176.5980316,+14d07m26.47s,14.1240201,347.097,13.7975,-13.7975,8.69,0.03,-0.03,6.259,0.016,-0.016,8.40499,0.000368,-0.000368,2018-09-04,2017-03,2018-09-06
